Unnamed: 0,Premise,Conclusion,Stance,XLNetLargePredictions,SBERTPredictions,BERTLargePredictions
1406,there is no longer a need for television now that alternative media are available.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1407,you dont know whats real or fake on social media.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1408,surrogacy is a beautiful act and so appreciated by the parents who could not have a child any other way.  we can't end this.,surrogacy should be banned.,against,against,against,against
1409,one single fact that when somebody receiving homeopathy there is no quaranties that these substances will be good for the patient.,homeopathy brings more harm than good.,in favour of,in favour of,against,against
1410,holocaust denial is offensive and it is a form of racism.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1411,holocaust denial should not be a criminal offence because it is better to let bad ideas be outcompeted by good ideas than to let them fester and grow out of sight like a cancer.,holocaust denial should be a criminal offence.,against,against,in favour of,against
1412,homeschooling can be used to hide child abuse since no teachers see them to report it.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1413,any type of helping kill someone is murder even if the person wishes to die. therefore it should be punished by law.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1414,"homeopathy is not an accredited professional, thus allowing anyone who wishes to practice to do so, without qualifications or knowledge of the human body.",homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1415,no more immigration from non-european or non-first world countries.,we should remove unauthorized asylum seekers or migrants.,in favour of,in favour of,in favour of,in favour of
1416,"when a person is entrapped, it is because they pose a danger to the community hence the need for it.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1417,homeopathy provides symptom relief without many of the side effects that are common with mainstream medications.,homeopathy brings more harm than good.,against,against,against,against
1418,there are emergency circumstances in which people need money in a hurry and payday loans assist them in acquiring it.,payday loans should be banned.,against,against,against,against
1419,intelligence tests can cause depression in children with low performance.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1420,assisted suicide shouldn't be a criminal offence because it allows the patient to have control over their final decisions.,assisted suicide should be a criminal offence.,against,against,against,against
1421,"several girls are being forced into marriages due to the patriarchal mindset of their families. until now, many girls of such families rebelled against such forced marriages and married the person of their choice after attaining 18 years with the help of legal support. but now, they have to wait till attaining 21 years. this will be misused by patriarchal families to threaten and control them.",indian government should increase the minimum legal age of marriage for girls from 18 to 21 years.,against,against,in favour of,in favour of
1422,recent studies have shown that young adults exiting in the foster care system are prime targets for predators controlling sex-trafficking bands.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1423,"as the occupying power, israel has a duty under international law to ensure the welfare of gaza residents, including their rights to health, education, food, and housing,  the blockade undermines these responsibilities.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1424,helping someone commit suicide is like killing them yourself.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1425,surrogacy is a fancy term that allows people to purchase children.,surrogacy should be banned.,in favour of,in favour of,against,against
1426,most of the time a child put into foster care gets separated from their siblings.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1427,this is beneficial only to the people who go to good schools and aern't living in poverty.   these tests are unfair to kids in low income poverty areas.   we should not have them.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1428,"vocational education has previously been an area for the better off, so subsidising it would open vocational studies to everyone regardless of income.",we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1429,"it makes no difference where we place the population of the world. either in or out of eu, the western way of living is unsustainable.",we should reduce environment pollution by limiting number of people in europe.,against,in favour of,in favour of,against
1430,assisted suicide is murder by another name and should remain illegal.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1431,the eu could play an important role in combatting misconceptions about immigration.  immigration needs to be controlled sensibly and immigrants should be taught european values and principles as well as the language of the host country. .,we should improve migration policies .,in favour of,in favour of,in favour of,in favour of
1432,"the name – ‘zero budget natural farming’ is confusing. if anyone hears the name for the first time, he/she will think that this approach requires no investment. but it requires investment to spend on labor, cow maintenance, and water. the costs are very low when compared with other forms of agriculture, but it is not completely zero. to avoid this confusion, zbnf was renamed as subhash palekar natural farming (spnf). but, it was announced as zbnf in the budget 2019.",we should promote zero budget natural farming all over india.,against,against,in favour of,against
1433,it is none of our business which treatment a person decides to pursue as long as there are no third party harms.,homeopathy brings more harm than good.,against,against,in favour of,against
1434,while hamas is in control of the gaza strip there remains a high possibility of terrorist acts towards the israeli people so the blockade must continue for the safety of israel.,blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
1435,we cannot pay for all immigrants. this type of idea is too idealistic and is killing us.,we should restrict immigration.,in favour of,in favour of,in favour of,in favour of
1436,television introduces people to ideas they wouldn't otherwise have had - which can lead to otherwise good people being influenced by bad characters.,we should abandon television.,against,in favour of,in favour of,in favour of
1437,freedom of speech is an important part of democracy.,holocaust denial should be a criminal offence.,against,against,against,against
1438,"people should have options when in comes to their health. most people use homeopathy in conjunction with western medicines, and that should be their own decision and choice.",homeopathy brings more harm than good.,against,against,in favour of,against
1439,climate models (e.g. co2 affecting anthropogenic climate warming) have not been validated.,we should invest in sustainable alternative fuels for aviation.,against,against,in favour of,against
1440,"the official un definition of the word 'genocide' includes imposing measures intended to prevent births within the group and forcibly transferring children of the group to another group. this is what the eu is doing to its own member states by allowing immigration into europe from the middle east and africa.  therefore, i can only conclude that eu bureaucrats hate native europeans.",we should stop immigration.,in favour of,in favour of,in favour of,in favour of
1441,surrogacy should be banned. it puts women life in danger by turning them into making machines.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1442,extremely important thing for an informed decision of the citizens e.g. in the supermarket.,we should label products with environmental impact and climate impacts in clear language.,in favour of,in favour of,in favour of,in favour of
1443,homeopathy allows for natural healing and care rather than being vulnerable to unknown dangers of chemicals in regards to such.,homeopathy brings more harm than good.,against,against,against,against
1444,social media helps us connect to the people we love that are far away from us.,social media brings more harm than good.,against,against,against,against
1445,television should be abandoned because it causes people to be lazy and unproductive in their lives.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1446,holocaust denial cannot be made a criminal offence in a country founded on free speech.,holocaust denial should be a criminal offence.,against,against,in favour of,against
1447,homeschooling doesn't allow the child to have the same social aspect that they would attain at a regular school.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1448,"early marriages result in several mental health issues in many girls. so, this move can eliminate this problem.",indian government should increase the minimum legal age of marriage for girls from 18 to 21 years.,in favour of,in favour of,in favour of,in favour of
1449,the blockade hurts palestinian civilians that have nothing to do with hamas and violence against israel. it is unjust to punish civilians for the actions of terrorists.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1450,social media brings more harm than good because social media distracts everyone from their daily lives.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1451,mandating the use of public defenders would allow everyone to have the same level of legal defense; the rich won't be able to buy the best lawyers.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1452,surrogacy is making a contract with a human life and is therefore immoral.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1453,"the russians use the money we give them in exchange for gas to spread disinformation, and propaganda and finance the terrorists in the donbas and its mercenaries (wagner group) in libya. .",we should stop buying russian gas.,in favour of,in favour of,in favour of,in favour of
1454,compulsory military training can also make people stronger physically &amp; emotionally.,military training should be made compulsory for all in india.,in favour of,in favour of,in favour of,in favour of
1455,"taxes are already too high, and vocational education grants would be too onerous.",we should subsidize vocational education.,against,against,in favour of,against
1456,public defenders don't do as good of a job as a hired lawyer does.,the use of public defenders should be mandatory.,against,against,in favour of,against
1457,"without payday loans, many would fall behind in payments, including rent.",payday loans should be banned.,against,against,against,against
1458,"most are into doing foster care for the paycheck, which leaves the children neglected.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1459,surrogacy is an artificial means of creating more children.  if a person can not have children then they should adopt since there are many children that need parents.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1460,homeschooling is not regulated and nobody can be sure that the kids have learned anything.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1461,holocaust denial is dangerous as it allows the same actions that caused the holocaust to happen again without proper question.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1462,"making the use of public defenders mandatory would level the playing field and enable justice fo all, as opposed to when the wealthy can spend millions to hire counsel to extricate themselves from crimes.",the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1463,payday loans are a life saver for many people who need to make that bill payment on time.,payday loans should be banned.,against,against,against,against
1464,iq tests can make people feel like a failure when they are actually smart.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1465, the eu needs a robust frontex agency with the caveat that frontex missions must report to the member states on whose territories they operate.,we should support frontex.,in favour of,in favour of,in favour of,in favour of
1466,the blockade is hurting free trade.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1467,it prevents people from having a better defense than others due to their money.,the use of public defenders should be mandatory.,in favour of,against,in favour of,in favour of
1468,payday loans help people make ends meet when income sources become constrained.,payday loans should be banned.,against,against,against,against
1469,entrapment can be used unethically to cause innocent people to look guilty.,entrapment should be legalized.,against,against,in favour of,against
1470,surrogacy should be banned as it can create complicated and painful situations for the mother and adoptive mother.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1471,"denial of this is wrong, it happened and many people died.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1472,the blockade must be maintained to keep peace in the area.,blockade of the gaza strip should be ended.,against,against,against,in favour of
1473,celibacy goes in accordance with their religion so it wouldn't make sense to abandon it.,the vow of celibacy should be abandoned.,against,against,against,against
1474,we should not abandon television because it is a form of entertainment for a lot of people and the only form of entertainment for many people that are in hospitals.,we should abandon television.,against,against,against,against
1475,it does because people just do it for the money and can harm the children.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1476,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1477,homeopathy uses natural remedies that have little to no side affects on the body.,homeopathy brings more harm than good.,against,against,against,against
1478,subsidizing vocational education will improve economy growth and will make people more successful.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1479,children who homeschool have surpassed their public school peers in standardized testing by an overall 10% better performance.,homeschooling should be banned.,against,against,in favour of,against
1480,we should subsidize vocational education because there is a compelling state interest in a more skilled workforce.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1481,women that are capable of giving birth can help those women who are not.,surrogacy should be banned.,against,against,against,against
1482,"the vast majority of the victims of this genocide in china are muslims. and yet, the muslim countries see the usa and the west as their arch-enemies! .",we should speak about the ongoing genocide in china.,in favour of,in favour of,in favour of,in favour of
1483,the blockade creates discourse around the issue of hamas and israel.,blockade of the gaza strip should be ended.,in favour of,against,against,in favour of
1484,"agrivoltaic could be a perfect model for an energy cooperation of citizens to own some greenhouses with photovoltaic & rent them for a small fee to a urban gardening cooperation of citizens, for example. .","we should invest in integrated photovoltaic (e.g., over agriculturally used land).",in favour of,in favour of,in favour of,in favour of
1485,"unlike orphanages in which siblings can largely stay together with the hope of being adopted together, the foster care splits siblings up based on available homes and does very little to try and reunite families.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1486,"the blockade makes it harder for the people in that area to make money, and their economy is on the verge of collapse according to world bank.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1487,the cow is a sacred animal for hindus. killing cows hurts their sentiments.,cattle slaughter should be banned.,in favour of,in favour of,against,in favour of
1488,surrogacy turns women and children into commodities and should be banned.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1489,"intelligence tests bring more harm than good because when one learns their number, then they try to live their life to that number.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1490,homeopathy brings tangible results in non-evasive ways to many ailments and offer an alternative to more expensive forms of treatment.,homeopathy brings more harm than good.,against,against,against,in favour of
1491,payday loans should not be banned because people have a right to enter into contracts.,payday loans should be banned.,against,against,against,against
1492,the constitution decrees legal representation of the people and mandatory public defenders allows for this right to be upheld.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1493,homeschooling should be allowed because parents are the first teachers children have and have everything at their disposal to teach their children effectively.,homeschooling should be banned.,against,against,against,against
1494,people can choose to believe what they wish.  denying it happened is not a crime.,holocaust denial should be a criminal offence.,against,against,against,against
1495,homeschooling closes students off from peer to peer interaction.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1496,"people that do well at intelligence tests are the ones supporting it, causing inequality in their favor, instead of using other empirically valid test.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1497,"mba programs are the best in shaping personality and behavioural skills, which are the most essential qualities of leaders.",mbas do not make good business leaders.,in favour of,against,against,against
1498,payday loans provide needed finance those those who need it most.,payday loans should be banned.,against,against,against,against
1499,it would allow medical supplies to get to the needy.,blockade of the gaza strip should be ended.,in favour of,in favour of,against,in favour of
1500,"it's also important to remember that many people use these psychedelic medicines in the context of their own religious/spiritual practice, and therefore our draconic laws directly violate freedom of religion (and sovereignty over our own bodies). there's no way the eu should tolerate this if they really care about human rights.",we should legalize non-violent drug offenses.,in favour of,against,in favour of,in favour of
1501,"there is a current stigma in society that says that all high school graduates should go to college, and this subsidy would help fight that stigma and drive people towards valuable career fields.",we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1502,glass is one of the biggest causes of human death for birds.,we should protect bird habitats in built environments.,in favour of,against,in favour of,against
1503,"when a child has gone missing, posting a picture helps to find the child.",social media brings more harm than good.,against,against,against,against
1504,homeschooling doesnt get children enough interaction with people so they are more likely to be social outcasts.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1505,intelligence test are not fully accurate.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1506,having the same time in most of the union’s countries helps reduce significant administrative difficulties: let us imagine how difficult it would be to make goods and people travel from one country to another if the time (and therefore the timetables of the transportation) would change at each border.,we should stop daylight saving time change.,against,against,against,against
1507,surrogacy is the only way some people can have children.,surrogacy should be banned.,against,against,against,against
1508,payday loans help people in need when they have an unexpected expense (such as a medical emergency) and cannot wait or cannot qualify for a traditional loan.,payday loans should be banned.,against,against,against,against
1509,esperanto is a common language of citizens from all countries of the eu. esperanto encounters bring them together for contact and understanding. the authorities of the european union are called upon to support this direct communication of the citizens. it is our free choice in which language we want to talk to each other - please recognize and promote it!  .,we should recognize esperanto as one of the cultural languages of eu citizens.,in favour of,in favour of,in favour of,in favour of
1510,entrapment is wrong since a person is almost coerced into committing a crime. it's cruel and wrong to trick a person into committing a crime.,entrapment should be legalized.,against,against,in favour of,against
1511,the vow of celibacy should be up to each individual.,the vow of celibacy should be abandoned.,against,in favour of,against,against
1512,"assisted suicide is sometimes the only solution for some people, we should not take it off.",assisted suicide should be a criminal offence.,against,against,against,against
1513,people have the right to hire an attorney they can trust that will do a very thorough job and defend them in this process.   public defenders might not hold the best skills to defend a person in court.,the use of public defenders should be mandatory.,against,against,in favour of,in favour of
1514,biofuel is much nonsense as would require huge areas and resources to be produced.,we should invest in sustainable alternative fuels for aviation.,against,against,in favour of,against
1515,we should abandon television because people just want to sit around watching and becoming lazy.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1516,entrapment is gravely immoral and against human rights to coerce someone into a crime.,entrapment should be legalized.,against,against,in favour of,against
1517, bigger financial resources for frontex and military action in syria will stop immigration.,we should strengthen frontex and control immigration.,in favour of,in favour of,in favour of,in favour of
1518,"the 'war on drugs' gifted to us by the usa is absolute rubbish. sugar is more dangerous than cannabis! how many people have died on 'legal highs'? far too many. the death toll from cannabis use = 0. more lives have been destroyed by drug laws than the drugs themselves. besides, cannabis is an herb, not a drug. many herbs have medicinal properties. if any becomes a health issue, that's how it needs to be addressed, as a health problem, not a crime!.",we should legalize non-violent drug use.,in favour of,in favour of,in favour of,against
1519,"before frontex is strengthened, frontex's human rights violations must first be stopped.",we should strengthen frontex and control immigration.,against,against,in favour of,against
1520,intelligence tests bring less harm than good because the envelope of people.,intelligence tests bring more harm than good.,against,against,against,in favour of
1521,many people who believe that homeopathic remedies have worked for them and feel better for using them surely are better using them than prescription medication that may have unwanted side effects.,homeopathy brings more harm than good.,against,against,in favour of,against
1522,homeschooling should not be banned because there is a lot of crime in the schools and if the parents want to teach their children they should have the right to.,homeschooling should be banned.,against,against,against,against
1523,"currently the ets only applies to certain carbon-emitting industries covering 40% of the eu's greenhouse gas emissions. to effectively combat climate change 40% is not enough. that is why the ets has to be expanded to at least cover agriculture and transport as well.  in addition to the extension of the ets the subsidies in fossil fuels (coal, oil and gas) must be cut in the near future.",we should stop subsidies for fossil fuels and expand the eu emissions trading system (ets).,in favour of,in favour of,in favour of,in favour of
1524,killing another person is wrong and should be banned.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1525,if anything the current blockade should be tighter since hamas still manages a steady trickle of terror out of gaza.,blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
1526,the catholic church doesn't have enough priests and abandoning this vow will encourage more young men to join.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1527,"sometimes people who are unable to end their own lives, are in so much pain and anguish that it is cruel to make them keep living, their loved ones need to be able to help them legally.",assisted suicide should be a criminal offence.,against,against,in favour of,against
1528,social media sucks people in and causes them to waste time they could be using productively.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1529,people should pay for their own vocational education in the way that students pay for their own university studies.,we should subsidize vocational education.,against,in favour of,in favour of,in favour of
1530,social media did not brings more harm than good because when people posting or sharing their opinions or argue about something people can benefit from it make people think outside the box.,social media brings more harm than good.,against,against,against,against
1531,"intelligence tests provide valuable information about areas of weakness, meaning that the child can benefit from a specially formulated education plan.",intelligence tests bring more harm than good.,against,against,against,against
1532,"in conjunction with medical care, it can give people hope.",homeopathy brings more harm than good.,against,against,against,against
1533,"halting all immigration from non-european or non-first-world countries is definitely not the way to go! that’s not how human societies should work!  what we need is a proper policy of integration and welcoming of refugees, that is both fair and respectful of human rights.",we should not have any immigration from non-european or non-first-world countries .,against,against,in favour of,in favour of
1534,"with zbnf, the government does not have to spend crores of rupees on loan waiver schemes.",we should promote zero budget natural farming all over india.,in favour of,in favour of,in favour of,in favour of
1535,"this is a free country, people have the right to homeschool their children.",homeschooling should be banned.,against,against,against,against
1536,if somebody is going to commit suicide anyway they should be able to do it safely with assistance.,assisted suicide should be a criminal offence.,against,against,against,against
1537,vocational education is beneficial to society and should be subsidized.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1538,the blockade is a waste of political and economic capital which could be used for valuable reforms inside of israel.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1539,"television is stll the number one place people go for news, and the verification of news - abandoning it would cut off a reliable source of information, effectively disenfranchising huge swathes of society.",we should abandon television.,against,against,against,against
1540,we should subsidize vocational education because it is often inaccessible to low income students.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1541,families should have the continued option of homeschooling because bullying in schools and such exists.,homeschooling should be banned.,against,against,against,against
1542,entrapment should be legalized because it helps a lot of police officers close their cases.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1543,homeopathy is much less dangerous than many pharmaceuticals.,homeopathy brings more harm than good.,against,against,in favour of,against
1544,homeschooling can be best for those with alternative learning needs.,homeschooling should be banned.,against,against,against,against
1545,assisted suicide should  not be a criminal offence as people with chronic health conditions may not be able to commit sucidice alone but should have the right to choose whether they continue to suffer.,assisted suicide should be a criminal offence.,against,against,against,against
1546,"when people are suffering, it is unfair to force them to continue to do so.  if someone can assist them in ending the suffering, they should be able to.",assisted suicide should be a criminal offence.,against,against,in favour of,against
1547,homeschooling should be banned because an important part of a child's education is social learning and one cannot grow socially without being around their peers.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1548,the use of public defenders should not be mandatory as you might get a bad one and then regret it for the rest of your life.,the use of public defenders should be mandatory.,against,against,in favour of,against
1549,many people don't trust doctors and would rather take matters into their own hands; it's their body and they can try whatever homeopathic remedy they want.,homeopathy brings more harm than good.,against,against,in favour of,against
1550,"in the 1960s, the green revolution increased food grain production with the aim of achieving food security and preventing famines. at present india’s population is increasing. so we need an abundant food supply. this may not be possible if we completely switch to natural farming.",we should promote zero budget natural farming all over india.,against,against,in favour of,against
1551,freedom of speech and thought should be protected.,holocaust denial should be a criminal offence.,against,against,in favour of,in favour of
1552,payday loans are predatory and negatively impact the poor and uneducated.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1553,we should abandon television because it causes screen addictions.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
1554,public defenders cost the state too much money.,the use of public defenders should be mandatory.,against,against,in favour of,against
1555,"television is harmful to health and family relationships, so we must abandon it.",we should abandon television.,in favour of,in favour of,in favour of,in favour of
1556,intelligence tests don't determine someone's real intellect.  that is shown in their everyday lives.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1557,we should not abandon television as it is an excellent source of news and information as well as entertainment.,we should abandon television.,against,against,against,against
1558,homeschooling does not provide necessary socialization skills needed in everyday life as well as cooperation among peers.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
1559,"using public defenders would be a fairer system ensuring that everyone has the same level of representation, not just those who can afford better.",the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
1560,"israel is threatened by terrorists operating in the gaza strip, the blockade is necessary to starve these forces of funds.",blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
1561,payday loans can be a life saver if one has a bill due that they need the money for immediately.,payday loans should be banned.,against,against,against,against
1562,criminalizing holocaust denial cuts down on anti-semitic acts by making it clear that no actions of this kind will be tolerated by the government.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1563,"social media brings people together, not only familes and friends, but likeminded people who may never have talked or met each other in real life, bonding over a common interest or topic.",social media brings more harm than good.,against,against,against,against
1564,there are cases where surrogacy is the only way that a couple can have a biologically related child.,surrogacy should be banned.,against,against,against,against
1565,"the european’s commission communication and political thinking on migration are biased, falsely naïve, and ideological.",we should stop the european commission’s ideological bias toward migration.,in favour of,in favour of,in favour of,in favour of
1566,"european institutions should take factual studies of the relative harm of different drugs into account. a uk study has shown that drugs such as cannabis and many hallucinogenic drugs are far less harmful than alcohol. the study in question was conducted by david j nutt, leslie a king, lawrence d phillips, on behalf of the independent scientific committee on drugs.",we should legalize non-violent drug use.,in favour of,in favour of,in favour of,in favour of
1567,the holocaust was a real thing that happened where many people died because of a man who wanted to rule the world. to deny that this happened is to say the lives of these innocent people do not matter.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1568,"people lie about things all the time, so who is to decide which lies are worthy of a criminal offense and which aren't?.",holocaust denial should be a criminal offence.,against,against,in favour of,against
1569,intelligence tests bring more harm than good because it will give people low self esteem if they get a low score on the test.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1570,"we should subsidize vocational education to support students who wish to follow a different education path to those going to university, who would be ineligible for scholarships and grants.",we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
1571,"intelligence tests put the focus at that immediate time of taking the test of whether a person can cope with being under pressure while taking a test, therefore, detrimental.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
1572,"india has already become a resource-scarce country. we are unable to deliver the basic necessities to genuine indian citizens, and a large number of additional immigrants will further worsen the conditions. the efficient nrc will help us in identifying illegal immigrants and some steps that can be taken for their deportation.",we should abolish the national register of citizens (nrc).,against,against,in favour of,against
1573,children that would have been neglected otherwise now have a fighting chance.,foster care brings more harm than good.,against,against,against,in favour of
1574,assisted suicide should be a criminal offence because no one has a right to take another persons life or to help them.,assisted suicide should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1575,"homeopathy has been proven to have a successful effect on many people, so if the end results are good it has to be worth a shot.",homeopathy brings more harm than good.,against,against,in favour of,against
1576,"payday loans can provide financial assistance in a crisis, when someone has nowhere else to turn.",payday loans should be banned.,against,against,against,against
1577,illegal loopholes in the legislation are enabling illegal migration. family reunification has been and remains the biggest channel of migration into the eu.,we should rethink the legal state of family reunification.,in favour of,in favour of,in favour of,in favour of
1578,"the vow of celibacy is unfair because it doesn't help people dealing with physical  needs, sometimes driving them crazy, so no need to give up sex.",the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1579,"surrogacy is often the last hope of people struggling to conceive and shouldn't be banned, just more heavily regulated.",surrogacy should be banned.,against,against,against,against
1580,"because the state pays for public defenders they have a smaller budget, meaning that valuable resources are not available which could compromise cases.",the use of public defenders should be mandatory.,against,against,in favour of,against
1581,social media can help to  foster radicalism & extremism.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1582,knowing who the surrogate is provides better information than in an adoption where you don't know any background.,surrogacy should be banned.,against,against,against,against
1583,it is unfair on the child who can be left without parents if they decide against adopting it.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
1584,"the foster care system doesn't provide a kid with a stable family life, as kids can be transferred from family to family, sometimes without a care of the well-being of the child.",foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1585,"television is the gateway for many to news and education as well as entertainment, it still provides a very valuable function.",we should abandon television.,against,against,against,against
1586,when it is known that someone has committed a crime but it cannot be proven then entrapment provides an effective way of proving what they are capable of.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1587,we should not ban television as it is an excellent source of information and entertainment.,we should abandon television.,against,against,against,against
1588,homeopathy is a natural way to cure a disease.,homeopathy brings more harm than good.,against,against,against,against
1589,blockade of the gaza strip should be ended because it's causing a humanitarian crisis.  basic needs of the people are not being met because of it.,blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
1590,"it's just freedom of speech, you can't arrest someone for not believing something.",holocaust denial should be a criminal offence.,against,against,against,against
1591,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,assisted suicide should be a criminal offence.,against,against,against,against
1592,intelligence tests give confidence to those placed behind their level.,intelligence tests bring more harm than good.,against,against,against,against
1593,the catholic church is suffering and churches closing due to the lack of priests.  many men choose to leave the priesthood because they want to marry.  ending the vow of celibacy would help end this problem.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
1594,foster care families don't really take care of the children and instead use them to earn extra income.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
1595,homeschooling is the best way for children to have their specific needs met.,homeschooling should be banned.,against,against,against,against
1596,"the blockade should not be ended, it is punishing bad behavior.",blockade of the gaza strip should be ended.,against,against,against,against
1597,sometimes for human safety these animals need to be caught.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
1598,"the official un definition of the word 'genocide' includes imposing measures intended to prevent births within the group and forcibly transferring children of the group to another group. this is what the eu is doing to its own member states by allowing immigration into europe from the middle east and africa.  therefore, i can only conclude that eu bureaucrats hate native europeans.",we should stop immigration.,in favour of,in favour of,in favour of,in favour of
1599,holocaust denial should be a criminal offence since it represent an evil idea that all modern societies should fight in every mean necessary.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
1600,payday loans prey on the most vulnerable and disadvantaged in society and is legalized loan-sharking.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
1601,television should not be banned as for elderly and isolated people television is a window into the world whether it's just for entertainment or to gain knowledge.,we should abandon television.,against,against,against,against
1602,the vow of celibacy is a personal choice and should be left to the individual.,the vow of celibacy should be abandoned.,against,in favour of,in favour of,against
1603,very large natural areas need to be protected to promote wildlife and the return of self-sustaining and fertile biodiversity!.,we should protect very large natural areas.,in favour of,in favour of,in favour of,in favour of
1604,television is entertaining and relaxes the population.,we should abandon television.,against,against,against,against
1605,people that get payday loans are being misleads and do not fully understand consequences.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
